Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun);Sampah Terkelola Tahunan (ton/tahun)
2022;Sulawesi Utara;Kab. Bolaang Mongondow Utara;12.652;6.084
2022;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;10.777;3.864
2022;Sulawesi Utara;Kab. Bolaang Mongondow Timur;13.476;1.588
2022;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;10.553;1.543
2022;Sulawesi Utara;Kota Manado;106.241;86.255
2022;Sulawesi Utara;Kota Bitung;58.055;43.664
2022;Sulawesi Utara;Kota Tomohon;18.510;15.509
2022;Sulawesi Utara;Kota Kotamobagu;31.464;26.656
2022;Sulawesi Tengah;Kab. Banggai;68.767;48.417
2022;Sulawesi Tengah;Kab. Donggala;44.233;8.317
2022;Sulawesi Tengah;Kab. Morowali;30.644;4.936
2022;Sulawesi Tengah;Kab. Parigi Moutong;82.583;7.346
2022;Sulawesi Tengah;Kab. Sigi;47.008;15.029
2022;Sulawesi Tengah;Kab. Banggai Laut;13.550;4.424
2022;Sulawesi Tengah;Kab. Morowali Utara;22.309;3.132
2022;Sulawesi Tengah;Kota Palu;74.074;69.187
2022;Sulawesi Selatan;Kab. Kepulauan Selayar;20.144;6.412
2022;Sulawesi Selatan;Kab. Bulukumba;65.305;61.889
2022;Sulawesi Selatan;Kab. Bantaeng;29.562;17.311
2022;Sulawesi Selatan;Kab. Jeneponto;59.204;25.902
2022;Sulawesi Selatan;Kab. Sinjai;39.320;36.275
2022;Sulawesi Selatan;Kab. Bone;148.115;96.882
2022;Sulawesi Selatan;Kab. Maros;58.951;43.550
2022;Sulawesi Selatan;Kab. Pangkajene Kepulauan;51.531;27.888
2022;Sulawesi Selatan;Kab. Soppeng;34.394;26.678
2022;Sulawesi Selatan;Kab. Wajo;55.428;44.867
2022;Sulawesi Selatan;Kab. Sidenreng Rappang;47.186;35.356
2022;Sulawesi Selatan;Kab. Pinrang;65.862;44.423
2022;Sulawesi Selatan;Kab. Enrekang;41.741;21.123
2022;Sulawesi Selatan;Kab. Luwu Timur;43.875;31.376
2022;Sulawesi Selatan;Kab. Toraja Utara;57.848;19.859
2022;Sulawesi Selatan;Kota Parepare;28.389;25.936
2022;Sulawesi Selatan;Kota Palopo;34.188;25.111
2022;Sulawesi Tenggara;Kab. Kolaka;44.022;16.046
2022;Sulawesi Tenggara;Kab. Wakatobi;29.456;16.803
2022;Sulawesi Tenggara;Kab. Kolaka Utara;20.341;5.462
2022;Sulawesi Tenggara;Kab. Buton Selatan;8.027;1.205
